"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blueblue","bluelow","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D4",0,0.1214,0.1073,479,17,"D",4,0.0181875,0.607201390705418,0.0299529946380238,12.587064106704,0.980945145425369,12.8315677644195,18280501.6913684,141509656614.152
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D5",0,0.1313,0.1166,463,16,"D",5,0.0274875,0.607201390705418,0.0452691650921061,-0.496291845462224,0.975234464490758,-0.508894900183183,27628057.1954083,-5612216987.02327
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D6",0,0.1242,0.112,463,17,"D",6,0.0228875,0.607201390705418,0.0376934248675063,-1.93841820646304,0.978043367082993,-1.98193482181098,23004535.1181412,-21857260251.845
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D7",0,0.1224,0.1108,465,17,"D",7,0.0216875,0.607201390705418,0.035717144808915,-0.314865239625533,0.978781171149028,-0.321691149060316,21798398.9240716,-3547688394.36486
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D8",0,0.1285,0.1147,473,18,"D",8,0.0255875,0.607201390705418,0.0421400549993366,8.90832510219252,0.97639095874541,9.12372756261391,25718341.554798,100618691194.277
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D9",0,0.1293,0.1156,477,18,"D",9,0.0264875,0.607201390705418,0.04362226504328,13.1904199855541,0.97584249819779,13.5169558713773,26622943.7003502,149068283700.388
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D10",0,0.1273,0.1127,475,17,"D",10,0.0235875,0.607201390705418,0.0388462549016845,10.2811527812069,0.977613949754593,10.5165774115516,23708114.5646819,115979378793.558
"M9","none","none","none","none","none",200,"D11",0,0.1003,0.0941,476,17,"D",11,0.00498750000000001,0.607201390705418,0.00821391399351994,5.44573010837428,0.989270938003156,5.50479135611371,5013003.55660206,60708180702.3014
"","","","","","",NA,"D12",0,NA,NA,NA,NA,"D",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"E1",0,NA,NA,NA,NA,"E",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS381","ara","0","0",200,"E2",0,0.1385,0.1234,471,17,"E",2,0.0342875,0.607201390705418,0.0564680854241232,9.62402195854429,0.97113764730099,9.91004929660755,34462828.9618031,109290438918.996
"M9","DH10B","pS381","ara","0","0",200,"E3",0,0.1366,0.1207,471,17,"E",3,0.0315875,0.607201390705418,0.0520214552922929,8.78506281523005,0.972756475050024,9.03110186419297,31749022.5251463,99597192417.3672
"M9","DH10B","pS381","ara","0","0",200,"E4",0,0.1243,0.1104,465,17,"E",4,0.0212875,0.607201390705418,0.0350583847893846,-0.440355036066421,0.979027572954477,-0.449788185982886,21396353.5260484,-4960373737.34121
"M9","DH10B","pS381","ara","10","0.3",200,"E5",0,0.1303,0.116,470,17,"E",5,0.0268875,0.607201390705418,0.0442810250628105,6.31575727712175,0.975599112289468,6.47372183672899,27024989.0983735,71393782190.1454
"M9","DH10B","pS381","ara","10","0.3",200,"E6",0,0.1334,0.1199,465,17,"E",6,0.0307875,0.607201390705418,0.0507039352532321,2.53559427215436,0.973238106317355,2.6053175021566,30944931.7290999,28732076381.4476
"M9","DH10B","pS381","ara","10","0.3",200,"E7",0,0.1293,0.117,464,17,"E",7,0.0278875,0.607201390705418,0.0459279251116365,0.628965869135357,0.974991652911995,0.645098721878113,28030102.5934315,7114305928.25381
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E8",0,0.1264,0.1119,466,17,"E",8,0.0227875,0.607201390705418,0.0375287348626237,1.03021288691957,0.978104770596338,1.05327457537239,22904023.7686354,11615768721.1581
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E9",0,0.1249,0.1115,471,17,"E",9,0.0223875,0.607201390705418,0.0368699748430932,5.90473386859748,0.978350530285506,6.03539701345522,22501978.3706122,66559829210.6097
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E10",0,0.122,0.1089,472,17,"E",10,0.0197875,0.607201390705418,0.0325880347161455,6.08904398403382,0.979953666667811,6.21360396021449,19888683.2834613,68525138852.0463
"M9","none","none","none","none","none",200,"E11",0,0.0949,0.0885,469,17,"E",11,-0.000612500000000002,0.607201390705418,-0.00100872627990596,-3.31119946667479,0.992883551561912,-3.33493234072205,-615632.015723061,-36778446642.787
"","","","","","",NA,"E12",0,NA,NA,NA,NA,"E",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"F1",0,NA,NA,NA,NA,"F",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F2",0,0.1245,0.1107,469,17,"F",2,0.0215875,0.607201390705418,0.0355524548040324,3.65376256635113,0.978842749674269,3.73273701783765,21697887.5745658,41165533574.9253
