"instrument","plate","seal","channel_name","channel_ex","channel_em","media","calibrant","protein","replicate","volume","dilution","mw_gmol1","concentration_ngul","well","blueblue040","blueblue050","blueblue060","blueblue070","blueblue080","blueblue090","blueblue100","blueblue110","blueblue120","row","column"
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",10
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",11
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",12
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",1
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",2
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",3
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",4
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",5
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",6
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",7
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",8
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",9
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",10
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",11
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H",12
